Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31762.73396
Australia,AUS,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.264924907
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,395199.1
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.59572675
Australia,AUS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,6.745497859
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.294351419
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,58868.48063
Austria,AUT,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.155708161
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,64497.8
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.263331201
Austria,AUT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.16821803
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,107.6093068
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,46647.08096
Azerbaijan,AZE,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.662527011
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,35521
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.54349533
Azerbaijan,AZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.4950546
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,121.2800711
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5348.454136
"Bahamas, The",BHS,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.217836669
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,2622.7
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.482893634
"Bahamas, The",BHS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,15.59065792
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,40.41528472
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29760.3414
Bahrain,BHR,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.942305816
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,32966.8
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,22.06335481
Bahrain,BHR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,59.21710593
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1908.286079
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,23414.21907
Bangladesh,BGD,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.359272445
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,92645
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.559733656
Bangladesh,BGD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,63.4255285
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1271.538926
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1557.964334
Barbados,BRB,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.242667046
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1167.27
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.166143194
Barbados,BRB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.34389367
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,651.5813953
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17168.14569
Belarus,BLR,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.976971245
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,57681.2
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.12342695
Belarus,BLR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.42351285
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.41075062
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6267.765795
Belgium,BEL,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.187759538
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,92989.4
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.093790746
Belgium,BEL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.6724532
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,379.4247028
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,43107.21482
Belize,BLZ,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.320293071
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,736.2
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.89208291
Belize,BLZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.17639652
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,17.05808856
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5907.348872
Benin,BEN,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.527193339
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,7475.5
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.608236773
Benin,BEN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,46.8584555
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,108.9964881
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1153.72621
Bermuda,BMU,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,..
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bermuda,BMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.069562328
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1183.537037
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,107036.2393
Bhutan,BTN,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.57994058
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,1433
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.867200723
Bhutan,BTN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,40.29859817
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,20.12215522
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3219.641439
Bolivia,BOL,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.571535844
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,21828.8
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.853461506
Bolivia,BOL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.83286559
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.87170221
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3242.948845
Bosnia and Herzegovina,BIH,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,1.130905109
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,21124.3
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.285663956
Bosnia and Herzegovina,BIH,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,29.46633319
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,65.63888672
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5558.082553
Botswana,BWA,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.444018321
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,7198.3
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.879663256
Botswana,BWA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.71873626
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,4.410745858
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6485.46044
Brazil,BRA,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.238677835
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,434318
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.050770129
Brazil,BRA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,11.65399121
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,25.33851766
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8592.210218
British Virgin Islands,VGB,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..
British Virgin Islands,VGB,CO2 emissions (kt),EN.ATM.CO2E.KT,..
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
British Virgin Islands,VGB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,204.0666667
British Virgin Islands,VGB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Brunei Darussalam,BRN,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.5315116
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,7057.8
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,16.11193294
Brunei Darussalam,BRN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.680643971
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,83.12106262
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,30313.41729
Bulgaria,BGR,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.681084233
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,39159.9
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.613710103
Bulgaria,BGR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.36594583
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,64.25719418
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8242.313996
Burkina Faso,BFA,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.376392455
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,5646.5
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.269501589
Burkina Faso,BFA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,53.67033962
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,76.57762792
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,716.0121974
Burundi,BDI,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.220522468
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,707.4
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.059571339
Burundi,BDI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,33.27977863
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,462.41581
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,270.1372773
Cabo Verde,CPV,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.28981703
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,617.2
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.069615098
Cabo Verde,CPV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,51.11721004
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,143.1836228
Cabo Verde,CPV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3690.656476
Cambodia,KHM,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.761496333
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,18093.2
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.116330426
Cambodia,KHM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.1120864
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,91.81818491
Cambodia,KHM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1465.969535
Cameroon,CMR,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.254847287
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,9557.3
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.370691707
Cameroon,CMR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,64.47088106
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,54.54156036
Cameroon,CMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1454.564069
Canada,CAN,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.333667121
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,566001.8
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.05274694
Canada,CAN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.100156005
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,4.193949311
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45113.06628
Cayman Islands,CYM,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..
Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,..
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Cayman Islands,CYM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,275.5583333
Cayman Islands,CYM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,82170.59303
Central African Republic,CAF,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.118475461
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,235.4
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.045188205
Central African Republic,CAF,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,46.3767539
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,8.361944204
Central African Republic,CAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,381.4140464
Chad,TCD,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.150445694
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,1583.6
Chad,TCD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.098196389
Chad,TCD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,59.2825236
Chad,TCD,Population density (people per sq. km of land area),EN.POP.DNST,12.80723158
Chad,TCD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,652.703216
Channel Islands,CHI,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,..
Channel Islands,CHI,CO2 emissions (kt),EN.ATM.CO2E.KT,..
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Channel Islands,CHI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Channel Islands,CHI,Population density (people per sq. km of land area),EN.POP.DNST,..
Channel Islands,CHI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Chile,CHL,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.35080944
Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,91915.4
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.827620075
Chile,CHL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.76585719
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,25.60681316
Chile,CHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13761.37447
China,CHN,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.752836117
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,10762824
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.645435786
China,CHN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,47.67263439
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,149.3675732
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10155.51142
Colombia,COL,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.246376225
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,79186.7
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.577820141
Colombia,COL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.01072747
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,45.23425507
Colombia,COL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6404.108766
Comoros,COM,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.298487291
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,326.2
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.41239668
Comoros,COM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.15567571
Comoros,COM,Population density (people per sq. km of land area),EN.POP.DNST,425.0327781
Comoros,COM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1381.622238
"Congo, Dem. Rep.",COD,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.068135749
"Congo, Dem. Rep.",COD,CO2 emissions (kt),EN.ATM.CO2E.KT,3031.2
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.03371488
"Congo, Dem. Rep.",COD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,35.86088793
"Congo, Dem. Rep.",COD,Population density (people per sq. km of land area),EN.POP.DNST,39.65809753
"Congo, Dem. Rep.",COD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,494.8192476
"Congo, Rep.",COG,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.726216783
"Congo, Rep.",COG,CO2 emissions (kt),EN.ATM.CO2E.KT,7006.1
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.257662142
"Congo, Rep.",COG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,39.30341272
"Congo, Rep.",COG,Population density (people per sq. km of land area),EN.POP.DNST,16.31254173
"Congo, Rep.",COG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1731.799886
Costa Rica,CRI,CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,0.123580177
Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,7956.4
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.564824452
Costa Rica,CRI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.42174135
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,99.57955347
Costa Rica,CRI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12662.42285
